[INFO] [1741228342.183133911] [cartographer logger]: I20250306 11:32:22.-2147483648  4952 constraint_builder_2d.cc:275] Node (1, 190) with 212 points on submap (1, 0) differs by translation 0.00 rotation 0.003 with score 88.4%.
[INFO] [1741228342.368577134] [cartographer logger]: I20250306 11:32:22.-2147483648  4950 constraint_builder_2d.cc:275] Node (1, 193) with 205 points on submap (1, 0) differs by translation 0.01 rotation 0.001 with score 88.7%.
[INFO] [1741228343.182815096] [cartographer logger]: I20250306 11:32:23.-2147483648  4951 constraint_builder_2d.cc:275] Node (1, 200) with 212 points on submap (1, 0) differs by translation 0.01 rotation 0.007 with score 68.6%.
[INFO] [1741228343.562309596] [cartographer logger]: I20250306 11:32:23.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 203) with 213 points on submap (1, 0) differs by translation 0.00 rotation 0.003 with score 68.7%.
[INFO] [1741228350.343436610] [cartographer logger]: I20250306 11:32:30.-2147483648  4914 collated_trajectory_builder.cc:81] imu rate: 5.00 Hz 2.00e-01 s +/- 4.04e-03 s (pulsed at 100.08% real time)
[INFO] [1741228350.343567777] [cartographer logger]: I20250306 11:32:30.-2147483648  4914 collated_trajectory_builder.cc:81] scan rate: 10.01 Hz 9.99e-02 s +/- 1.87e-03 s (pulsed at 99.29% real time)
[INFO] [1741228350.742035740] [cartographer logger]: I20250306 11:32:30.-2147483648  4914 pose_graph_2d.cc:148] Inserted submap (1, 3).
[INFO] [1741228350.750571203] [cartographer logger]: I20250306 11:32:30.-2147483648  4950 constraint_builder_2d.cc:275] Node (1, 6) with 204 points on submap (1, 1) differs by translation 0.00 rotation 0.001 with score 83.8%.
[INFO] [1741228350.753310314] [cartographer logger]: I20250306 11:32:30.-2147483648  4949 constraint_builder_2d.cc:275] Node (1, 0) with 204 points on submap (1, 1) differs by translation 0.01 rotation 0.013 with score 82.0%.
[INFO] [1741228350.756192240] [cartographer logger]: I20250306 11:32:30.-2147483648  4952 constraint_builder_2d.cc:275] Node (1, 3) with 201 points on submap (1, 1) differs by translation 0.00 rotation 0.005 with score 83.6%.
[INFO] [1741228350.757627869] [cartographer logger]: I20250306 11:32:30.-2147483648  4951 constraint_builder_2d.cc:275] Node (1, 10) with 211 points on submap (1, 1) differs by translation 0.00 rotation 0.003 with score 83.2%.
[INFO] [1741228350.757817462] [cartographer logger]: I20250306 11:32:30.-2147483648  4950 constraint_builder_2d.cc:275] Node (1, 13) with 203 points on submap (1, 1) differs by translation 0.00 rotation 0.005 with score 84.4%.
